Format Version,1.23,Take Name,Take 2024-01-17 05.22.17 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.22.18.071 PM,Capture Start Frame,13450254,Total Frames in Take,7420,Total Exported Frames,7420,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
17,0.170000,-1.040500,0.355221,-0.358440,-0.925494,0.354900,-0.388999,-0.863130,0.354274,-0.159762,-0.810271,0.354356,-0.422120,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665484,0.341024,-0.242141,0.696064,0.337918,-0.168076,0.725771,0.334815,-0.094234,0.756520,0.332079,-0.020798,0.932260,0.349484,-0.222012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,-1.039652,0.354762,-0.358884,-0.923654,0.355044,-0.387821,-0.862012,0.354461,-0.158655,-0.808802,0.354988,-0.418506,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665514,0.341151,-0.242228,0.696048,0.337921,-0.168133,0.725771,0.334815,-0.094234,0.756555,0.332057,-0.020807,0.932137,0.349344,-0.221940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,-1.038199,0.354576,-0.358366,-0.922261,0.355484,-0.386877,-0.861502,0.355581,-0.158059,-0.806259,0.354635,-0.418201,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665685,0.341176,-0.242295,0.696048,0.337921,-0.168133,0.725771,0.334815,-0.094234,0.756837,0.331900,-0.020447,0.931931,0.348936,-0.222178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,-1.036878,0.355151,-0.355291,-0.920637,0.355552,-0.386280,-0.859138,0.356488,-0.155060,-0.805801,0.354316,-0.416383,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665514,0.341151,-0.242228,0.696048,0.337921,-0.168133,0.725771,0.334815,-0.094234,0.756837,0.331900,-0.020447,0.932218,0.349507,-0.222006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,-1.035997,0.354685,-0.355880,-0.920174,0.355059,-0.384766,-0.859173,0.355080,-0.154883,-0.804352,0.355072,-0.414599,0.393621,0.329792,1.024362,0.477456,0.329511,0.969285,0.665379,0.340987,-0.242225,0.696046,0.337915,-0.168187,0.725887,0.334992,-0.094329,0.756837,0.331900,-0.020447,0.932260,0.349484,-0.222012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,-1.034571,0.355033,-0.353204,-0.919670,0.355435,-0.382825,-0.858398,0.355150,-0.154158,-0.803764,0.354269,-0.412948,0.393621,0.329792,1.024362,0.477194,0.329666,0.969686,0.665454,0.341054,-0.242231,0.696042,0.337917,-0.168190,0.725771,0.334815,-0.094234,0.756837,0.331900,-0.020447,0.931970,0.348916,-0.222175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,-1.034941,0.354918,-0.353496,-0.918580,0.355372,-0.381563,-0.856850,0.353687,-0.152261,-0.803244,0.353822,-0.412615,0.393681,0.330031,1.024290,0.477319,0.329605,0.969685,0.665601,0.341203,-0.242338,0.696046,0.337915,-0.168187,0.725771,0.334815,-0.094234,0.756837,0.331900,-0.020447,0.932146,0.348940,-0.222243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,-1.033047,0.352448,-0.351100,-0.918031,0.354810,-0.380867,-0.856422,0.355212,-0.151330,-0.802752,0.354307,-0.411859,0.393681,0.330031,1.024290,0.476855,0.330064,0.969740,0.665692,0.341170,-0.242346,0.696040,0.337912,-0.168242,0.725887,0.334992,-0.094329,0.756837,0.331900,-0.020447,0.932417,0.349630,-0.222129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,-1.033352,0.354398,-0.350502,-0.917577,0.355033,-0.380084,-0.854386,0.356762,-0.149169,-0.802515,0.354341,-0.410783,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665644,0.341205,-0.242304,0.696046,0.337915,-0.168187,0.725887,0.334992,-0.094329,0.756922,0.331737,-0.020522,0.932260,0.349484,-0.222012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.260000,-1.031217,0.355735,-0.347580,-0.917760,0.354496,-0.377911,-0.854649,0.355402,-0.148866,-0.800805,0.355584,-0.409633,0.393681,0.330031,1.024290,0.477194,0.329666,0.969686,0.665685,0.341176,-0.242295,0.696046,0.337915,-0.168187,0.725771,0.334815,-0.094234,0.756520,0.332079,-0.020806,0.932417,0.349630,-0.222129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
