Format Version,1.23,Take Name,Take 2024-01-17 05.46.02 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.46.02.203 PM,Capture Start Frame,13592676,Total Frames in Take,6090,Total Exported Frames,6090,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.377592,0.364132,-0.917220,-1.330693,0.364284,-0.852729,-1.280729,0.363067,-0.787148,-0.761487,0.324653,0.748770,-0.701676,0.325382,0.755145,-0.669716,0.331195,0.997868,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524033,0.325371,0.774428,-0.258488,0.374727,-0.888074,-0.036546,0.368065,-0.790930,-0.014055,0.369780,-0.885649,0.744042,0.336207,0.171438,0.805672,0.335047,0.274197,0.865527,0.329160,0.375137,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.378966,0.364056,-0.917273,-1.330693,0.364284,-0.852729,-1.280729,0.363067,-0.787148,-0.761456,0.324613,0.748689,-0.701713,0.325446,0.755038,-0.668828,0.330536,0.998691,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.523885,0.326787,0.776393,-0.260633,0.373814,-0.885071,-0.036418,0.369292,-0.788175,-0.015339,0.368720,-0.885126,0.744147,0.336120,0.171428,0.805725,0.335113,0.274257,0.865578,0.329468,0.375918,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.377927,0.364572,-0.917374,-1.330704,0.364511,-0.853343,-1.280729,0.363067,-0.787148,-0.761404,0.324783,0.749042,-0.702631,0.324924,0.756010,-0.669355,0.330795,0.997918,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.523885,0.326787,0.776393,-0.262105,0.374063,-0.887666,-0.038439,0.368605,-0.787562,-0.018189,0.368577,-0.884734,0.744070,0.336181,0.171418,0.805701,0.335184,0.274292,0.865527,0.329160,0.375137,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.378844,0.363962,-0.917441,-1.330704,0.364511,-0.853343,-1.281443,0.363206,-0.788562,-0.761291,0.324641,0.749050,-0.702612,0.325044,0.756064,-0.668828,0.330536,0.998691,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.523885,0.326787,0.776393,-0.263744,0.374605,-0.885234,-0.040713,0.367987,-0.789651,-0.019601,0.368875,-0.884324,0.744070,0.336181,0.171418,0.805618,0.335037,0.274171,0.865578,0.329468,0.375918,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.378844,0.363962,-0.917441,-1.330634,0.364271,-0.853574,-1.280729,0.363067,-0.787148,-0.761307,0.324635,0.748956,-0.702669,0.325059,0.755978,-0.668265,0.329819,0.999025,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.523885,0.326787,0.776393,-0.265416,0.374865,-0.885471,-0.041742,0.367185,-0.789240,-0.021177,0.369048,-0.883841,0.744147,0.336120,0.171428,0.805618,0.335037,0.274171,0.865519,0.329226,0.375007,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.378844,0.363962,-0.917441,-1.330385,0.364020,-0.853482,-1.280764,0.363224,-0.787274,-0.761158,0.324643,0.749039,-0.702578,0.324911,0.756095,-0.669355,0.330795,0.997918,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.523824,0.326748,0.776443,-0.266962,0.374334,-0.885217,-0.042571,0.369580,-0.786908,-0.022352,0.369739,-0.883559,0.744147,0.336120,0.171428,0.805618,0.335037,0.274171,0.865504,0.329615,0.376171,1.008456,0.337763,0.151787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.378844,0.363962,-0.917441,-1.330390,0.363854,-0.853523,-1.280764,0.363224,-0.787274,-0.761220,0.324623,0.748571,-0.702578,0.324911,0.756095,-0.669293,0.330838,0.997929,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.523824,0.326748,0.776442,-0.268057,0.374121,-0.887099,-0.045415,0.366984,-0.787654,-0.023520,0.369604,-0.883277,0.744119,0.336145,0.171447,0.805618,0.335037,0.274171,0.865457,0.329196,0.375105,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,-1.544076,0.369723,-0.740056,-1.424420,0.363009,-0.979543,-1.378844,0.363962,-0.917441,-1.330470,0.364206,-0.853599,-1.280764,0.363224,-0.787274,-0.761178,0.324634,0.748944,-0.702578,0.324911,0.756095,-0.669524,0.331151,0.997994,-0.643411,0.325981,0.763340,-0.584386,0.325576,0.766212,-0.524050,0.326667,0.776574,-0.269412,0.374230,-0.886281,-0.047612,0.368447,-0.788465,-0.025685,0.368984,-0.882778,0.744147,0.336120,0.171428,0.805809,0.335261,0.274380,0.865527,0.329160,0.375137,1.008144,0.337210,0.151625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.378844,0.363962,-0.917441,-1.330470,0.364206,-0.853599,-1.280729,0.363067,-0.787148,-0.761175,0.324589,0.748663,-0.702794,0.324817,0.756343,-0.669524,0.331151,0.997994,-0.643066,0.326065,0.763398,-0.584386,0.325576,0.766212,-0.524050,0.326667,0.776574,-0.270184,0.374352,-0.886085,-0.048515,0.368303,-0.788476,-0.027390,0.369399,-0.882559,0.744119,0.336145,0.171447,0.805618,0.335037,0.274171,0.865527,0.329160,0.375137,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,-1.544076,0.369723,-0.740056,-1.424315,0.363017,-0.979614,-1.375617,0.364008,-0.915042,-1.330385,0.364020,-0.853482,-1.280042,0.363680,-0.786673,-0.760967,0.324819,0.748919,-0.702822,0.324788,0.756244,-0.668828,0.330536,0.998691,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524032,0.326701,0.776660,-0.273852,0.375748,-0.886221,-0.050009,0.367657,-0.788475,-0.027907,0.371063,-0.882966,0.744147,0.336120,0.171428,0.805701,0.335184,0.274292,0.865527,0.329160,0.375137,1.008456,0.337763,0.151787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.260000,-1.544076,0.369723,-0.740056,-1.424010,0.362886,-0.978719,-1.378966,0.364056,-0.917273,-1.330385,0.364020,-0.853482,-1.280729,0.363067,-0.787148,-0.761096,0.324568,0.748921,-0.701676,0.325382,0.755145,-0.669586,0.331109,0.997984,-0.643411,0.325981,0.763340,-0.584386,0.325576,0.766212,-0.524050,0.326667,0.776574,-0.275249,0.374368,-0.883387,-0.051566,0.367953,-0.788643,-0.029865,0.369425,-0.882558,0.744147,0.336120,0.171428,0.805725,0.335113,0.274257,0.865527,0.329160,0.375137,1.008302,0.337755,0.151765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.270000,-1.544076,0.369723,-0.740056,-1.425403,0.364313,-0.980819,-1.375062,0.364510,-0.914902,-1.330310,0.363842,-0.853373,-1.280042,0.363680,-0.786673,-0.761266,0.324604,0.749052,-0.701676,0.325382,0.755145,-0.668828,0.330536,0.998691,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524050,0.326667,0.776574,-0.277157,0.374710,-0.885745,-0.052882,0.366652,-0.787601,-0.032605,0.368724,-0.882757,0.744147,0.336120,0.171428,0.805701,0.335184,0.274292,0.865578,0.329468,0.375918,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.280000,-1.544076,0.369723,-0.740056,-1.424420,0.363009,-0.979543,-1.375062,0.364510,-0.914902,-1.330693,0.364284,-0.852729,-1.280729,0.363067,-0.787148,-0.761321,0.324495,0.748875,-0.701676,0.325382,0.755145,-0.669586,0.331109,0.997984,-0.643066,0.326065,0.763398,-0.584648,0.325501,0.766257,-0.524050,0.326667,0.776574,-0.277579,0.374323,-0.885432,-0.055004,0.368337,-0.785783,-0.033850,0.369127,-0.882914,0.744119,0.336145,0.171447,0.805701,0.335184,0.274292,0.865527,0.329160,0.375137,1.008302,0.337774,0.151703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.290000,-1.544076,0.369723,-0.740056,-1.425403,0.364313,-0.980819,-1.375062,0.364510,-0.914902,-1.330466,0.364100,-0.853300,-1.280764,0.363224,-0.787274,-0.761331,0.324491,0.748911,-0.701713,0.325446,0.755038,-0.669586,0.331109,0.997984,-0.643411,0.325981,0.763340,-0.584648,0.325501,0.766257,-0.524424,0.326543,0.776780,-0.280204,0.373622,-0.883110,-0.056229,0.368243,-0.785746,-0.035838,0.369517,-0.882499,0.744042,0.336207,0.171438,0.805725,0.335113,0.274257,0.865630,0.329364,0.376073,1.008302,0.337755,0.151765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
