Format Version,1.23,Take Name,Take 2024-01-17 05.50.54 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.50.54.543 PM,Capture Start Frame,13621912,Total Frames in Take,6077,Total Exported Frames,6077,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,-1.553304,0.369103,-0.699852,-1.511083,0.361522,-0.963532,-1.449402,0.364951,-0.918560,-1.382568,0.364728,-0.870026,-1.316914,0.365031,-0.826233,-0.440005,0.317706,1.028305,-0.396951,0.319414,0.987023,-0.352987,0.322671,0.950353,-0.308654,0.324196,0.909518,-0.266140,0.324401,0.868301,-0.189929,0.325779,1.124432,-0.149717,0.360089,-0.287511,-0.012948,0.360689,-0.488377,0.056726,0.359245,-0.417173,0.509002,0.334816,0.407288,0.597301,0.329490,0.484418,0.687984,0.327582,0.564181,0.755532,0.338326,0.305791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,-1.553254,0.369062,-0.699902,-1.511083,0.361522,-0.963532,-1.447082,0.363020,-0.919279,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439465,0.317893,1.028422,-0.396951,0.319414,0.987023,-0.353172,0.322666,0.950302,-0.308858,0.324199,0.909683,-0.266140,0.324401,0.868301,-0.189929,0.325779,1.124432,-0.149597,0.357413,-0.285608,-0.014607,0.360165,-0.488155,0.055201,0.358096,-0.416434,0.508278,0.334785,0.406862,0.597738,0.330894,0.485322,0.686464,0.325248,0.562352,0.754788,0.338632,0.305302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,-1.553304,0.369103,-0.699852,-1.511083,0.361522,-0.963532,-1.447082,0.363020,-0.919279,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439592,0.317545,1.028167,-0.396951,0.319414,0.987023,-0.352987,0.322671,0.950353,-0.308681,0.324264,0.909572,-0.266381,0.324264,0.868193,-0.189929,0.325779,1.124432,-0.150879,0.357407,-0.285925,-0.015333,0.360860,-0.488515,0.053813,0.357958,-0.416447,0.507566,0.334913,0.406548,0.597574,0.331268,0.484929,0.686284,0.325340,0.562283,0.753755,0.338092,0.304789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,-1.553304,0.369103,-0.699852,-1.511083,0.361522,-0.963532,-1.445606,0.363735,-0.915918,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439592,0.317545,1.028167,-0.396951,0.319414,0.987023,-0.352987,0.322671,0.950353,-0.308858,0.324199,0.909683,-0.265257,0.323448,0.865769,-0.189929,0.325779,1.124432,-0.152685,0.358225,-0.286846,-0.016007,0.360850,-0.488173,0.052899,0.357998,-0.416564,0.506824,0.334826,0.405846,0.596959,0.331527,0.484013,0.685562,0.326036,0.561210,0.753019,0.338226,0.304106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,-1.553304,0.369103,-0.699852,-1.510959,0.361556,-0.963572,-1.447082,0.363020,-0.919279,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.439872,0.318043,1.028527,-0.397032,0.319324,0.987022,-0.353172,0.322666,0.950302,-0.309041,0.324027,0.909844,-0.264967,0.325024,0.868528,-0.190199,0.325513,1.120679,-0.153348,0.359814,-0.284085,-0.017101,0.360514,-0.487874,0.051659,0.358929,-0.416142,0.506150,0.334513,0.405328,0.596350,0.331681,0.483345,0.685281,0.326264,0.560898,0.752686,0.338125,0.303530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,-1.553220,0.369107,-0.699938,-1.510959,0.361556,-0.963572,-1.447082,0.363020,-0.919279,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.440005,0.317706,1.028305,-0.396951,0.319414,0.987023,-0.352742,0.322791,0.950448,-0.309041,0.324027,0.909844,-0.266381,0.324264,0.868193,-0.189929,0.325779,1.124432,-0.154065,0.359694,-0.283412,-0.018786,0.360517,-0.486684,0.050558,0.358386,-0.415517,0.505773,0.334976,0.404408,0.595827,0.331730,0.483099,0.683897,0.325889,0.562280,0.752597,0.338296,0.303214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,-1.553322,0.369018,-0.699914,-1.510959,0.361556,-0.963572,-1.447083,0.363157,-0.919343,-1.382568,0.364728,-0.870026,-1.317026,0.365160,-0.826336,-0.440005,0.317706,1.028305,-0.396951,0.319414,0.987023,-0.352987,0.322671,0.950353,-0.309041,0.324027,0.909844,-0.265451,0.324853,0.868516,-0.189929,0.325779,1.124432,-0.155923,0.358725,-0.283747,-0.020041,0.360940,-0.486196,0.049452,0.358110,-0.414817,0.505412,0.334899,0.403899,0.595105,0.331280,0.482553,0.682470,0.325685,0.559492,0.752488,0.338391,0.303081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,-1.553162,0.369132,-0.699918,-1.510959,0.361556,-0.963572,-1.446823,0.362829,-0.919449,-1.382568,0.364728,-0.870026,-1.317009,0.365272,-0.826380,-0.440414,0.317966,1.028474,-0.397020,0.319316,0.987036,-0.352987,0.322671,0.950353,-0.309041,0.324027,0.909844,-0.265356,0.324772,0.868513,-0.189929,0.325779,1.124432,-0.156082,0.358415,-0.282367,-0.020703,0.361761,-0.485019,0.048227,0.357626,-0.415161,0.505157,0.334879,0.403618,0.594550,0.331466,0.482029,0.682095,0.325901,0.559288,0.751740,0.337767,0.302728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,-1.553254,0.369062,-0.699902,-1.510810,0.361663,-0.963512,-1.446823,0.362829,-0.919449,-1.382568,0.364728,-0.870026,-1.316857,0.365205,-0.826404,-0.440630,0.317782,1.028468,-0.397032,0.319324,0.987022,-0.352820,0.321692,0.948057,-0.309041,0.324027,0.909844,-0.265703,0.324675,0.868392,-0.190103,0.325677,1.124566,-0.156574,0.359822,-0.279903,-0.022187,0.361246,-0.484337,0.047744,0.357988,-0.413736,0.504513,0.334649,0.403272,0.594076,0.331535,0.481902,0.681661,0.325254,0.558792,0.751690,0.338617,0.302626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,-1.553222,0.369056,-0.699860,-1.511428,0.361728,-0.964216,-1.446822,0.362692,-0.919385,-1.382568,0.364728,-0.870026,-1.316896,0.365144,-0.826277,-0.440414,0.317966,1.028474,-0.397020,0.319316,0.987036,-0.353442,0.322563,0.950204,-0.309041,0.324027,0.909844,-0.265748,0.324680,0.868332,-0.189929,0.325779,1.124432,-0.160139,0.359113,-0.282620,-0.023710,0.360812,-0.483771,0.046177,0.357986,-0.411824,0.503954,0.334471,0.403039,0.593530,0.331320,0.481559,0.681887,0.325660,0.559210,0.750830,0.338785,0.302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
