Format Version,1.23,Take Name,Take 2024-01-17 05.58.09 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-01-17 05.58.09.758 PM,Capture Start Frame,13665436,Total Frames in Take,4627,Total Exported Frames,4627,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
17,0.170000,-1.098500,0.324197,0.988120,-1.038553,0.323849,0.984513,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.663462,0.350116,-0.295491,-0.920537,0.322779,0.975451,-0.582685,0.348071,-0.300749,-0.859838,0.320874,0.972732,-0.558275,0.364033,-0.541581,-0.503204,0.345142,-0.305196,-0.423882,0.343890,-0.311402,0.502129,0.345840,-0.100493,0.536182,0.354661,-0.340282,0.602902,0.347313,-0.105248,1.001975,0.330173,0.515012,1.122458,0.323954,0.754813,,,,0.881562,0.323414,0.753921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,-1.098500,0.324197,0.988120,-1.038547,0.323749,0.984461,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.661922,0.349140,-0.296330,-0.919850,0.322004,0.976852,-0.582045,0.347993,-0.300166,-0.859634,0.320682,0.973054,-0.558927,0.363486,-0.543081,-0.503150,0.344800,-0.304997,-0.423963,0.343338,-0.311721,0.504066,0.348193,-0.098685,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,1.000124,0.329904,0.517094,1.120431,0.324252,0.757981,,,,0.880712,0.323749,0.755470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,-1.098500,0.324197,0.988120,-1.038553,0.323849,0.984513,-0.995021,0.336492,0.743342,-0.979175,0.322721,0.980367,-0.662117,0.350556,-0.293760,-0.919370,0.321539,0.976780,-0.582029,0.348075,-0.299446,-0.859634,0.320682,0.973054,-0.558591,0.363054,-0.542039,-0.503970,0.344781,-0.303638,-0.423944,0.343721,-0.309737,0.502129,0.345840,-0.100493,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,0.998852,0.330486,0.518544,1.119570,0.325004,0.759336,0.999902,0.325578,0.759117,0.880911,0.326764,0.758925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,-1.098500,0.324197,0.988120,-1.038367,0.324704,0.985518,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.662281,0.350488,-0.292897,-0.920882,0.322889,0.977731,-0.581892,0.348858,-0.298636,-0.859838,0.320874,0.972732,-0.558255,0.362787,-0.541476,-0.502798,0.345636,-0.303185,-0.423257,0.342191,-0.308976,0.503938,0.348139,-0.098783,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,0.998344,0.329904,0.520550,1.117194,0.324061,0.761402,0.998339,0.325505,0.760759,0.878293,0.323821,0.758684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,-1.098500,0.324197,0.988120,-1.038367,0.324704,0.985518,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.662078,0.350463,-0.292147,-0.920270,0.322577,0.975339,-0.582152,0.348324,-0.297394,-0.861181,0.322976,0.972592,-0.558033,0.362529,-0.540738,-0.502718,0.344283,-0.302735,-0.423860,0.343044,-0.307464,0.502264,0.345828,-0.100547,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,0.997418,0.330109,0.522300,1.116631,0.324465,0.763367,0.997108,0.325507,0.762290,0.876249,0.322836,0.759564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,-1.098375,0.324171,0.988292,-1.038367,0.324704,0.985518,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.662491,0.350252,-0.291435,-0.920264,0.322686,0.975173,-0.583365,0.348138,-0.296646,-0.861902,0.322528,0.972420,-0.558156,0.364176,-0.537784,-0.502728,0.346141,-0.301579,-0.424422,0.342696,-0.306437,0.502264,0.345828,-0.100547,0.536144,0.354691,-0.340309,0.602882,0.347141,-0.105321,0.996520,0.329738,0.523846,1.114925,0.324688,0.765598,0.995479,0.325613,0.764535,0.875524,0.323384,0.761753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,-1.097458,0.323849,0.988995,-1.038367,0.324704,0.985518,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.662575,0.350329,-0.291008,-0.920392,0.323672,0.978061,-0.583061,0.347958,-0.295925,-0.861181,0.322976,0.972592,-0.557139,0.364451,-0.537279,-0.502776,0.345382,-0.300532,-0.424399,0.343794,-0.305786,0.502264,0.345828,-0.100547,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,0.997429,0.333112,0.527819,1.113407,0.324116,0.768312,0.994341,0.325574,0.766192,0.874253,0.323799,0.763635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,-1.098375,0.324171,0.988292,-1.038268,0.324271,0.984757,-0.995021,0.336492,0.743342,-0.978734,0.322714,0.980548,-0.662094,0.351364,-0.290625,-0.919850,0.322004,0.976852,-0.583183,0.347814,-0.295495,-0.859838,0.320874,0.972732,-0.557451,0.364373,-0.536549,-0.502858,0.344501,-0.299982,-0.423613,0.342615,-0.305361,0.502264,0.345828,-0.100547,0.536144,0.354691,-0.340309,0.602910,0.347118,-0.105358,0.996468,0.332811,0.529679,1.112978,0.324405,0.770045,0.993098,0.325162,0.768350,0.872799,0.323147,0.765042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,-1.098177,0.324312,0.988301,-1.038268,0.324271,0.984757,-0.995021,0.336492,0.743342,-0.979258,0.323265,0.980306,-0.663054,0.350741,-0.290009,-0.919850,0.322004,0.976852,-0.582171,0.348320,-0.296900,-0.859838,0.320874,0.972732,-0.556820,0.364760,-0.535746,-0.503509,0.345256,-0.298879,-0.423911,0.343555,-0.304988,0.502264,0.345828,-0.100547,0.536301,0.354879,-0.340506,0.603073,0.347178,-0.105324,0.993832,0.330015,0.530281,1.111728,0.324422,0.772188,0.992784,0.325422,0.770039,0.872494,0.323669,0.767506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.260000,-1.098404,0.324159,0.988348,-1.038168,0.323668,0.984861,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.662004,0.349567,-0.289818,-0.920320,0.322741,0.975316,-0.582325,0.347293,-0.293766,-0.859634,0.320682,0.973054,-0.557251,0.364361,-0.535241,-0.503206,0.344840,-0.301154,-0.423870,0.343661,-0.304668,0.502264,0.345828,-0.100547,0.536235,0.354597,-0.340287,0.603012,0.347226,-0.105253,0.993640,0.330425,0.531465,1.111805,0.323715,0.772073,0.991251,0.325112,0.771955,0.872718,0.326551,0.770535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.270000,-1.098404,0.324159,0.988348,-1.038465,0.324171,0.984839,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.662163,0.350730,-0.289569,-0.920392,0.323672,0.978061,-0.582865,0.347889,-0.293686,-0.859838,0.320874,0.972732,-0.557388,0.363610,-0.534180,-0.503213,0.345222,-0.297946,-0.423594,0.343618,-0.304302,0.502264,0.345828,-0.100547,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,0.991965,0.330054,0.533709,1.110249,0.324529,0.774903,0.991093,0.325637,0.773558,0.870818,0.323817,0.771121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.280000,-1.098404,0.324159,0.988348,-1.038312,0.324241,0.984809,-0.995023,0.336555,0.743428,-0.979124,0.322757,0.980451,-0.661632,0.350836,-0.289007,-0.920489,0.322644,0.975556,-0.582227,0.347830,-0.295466,-0.859634,0.320682,0.973054,-0.558297,0.362731,-0.533705,-0.504771,0.343648,-0.298443,-0.422896,0.342318,-0.303540,0.502397,0.345783,-0.100887,0.536252,0.354764,-0.340356,0.602882,0.347141,-0.105321,0.990698,0.330245,0.534798,1.109702,0.324634,0.776006,0.990629,0.325938,0.774802,0.870366,0.324123,0.772728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.290000,-1.098404,0.324159,0.988348,-1.038374,0.324197,0.984854,-0.995021,0.336492,0.743342,-0.979124,0.322757,0.980451,-0.661177,0.349668,-0.287980,-0.920392,0.323672,0.978061,-0.581625,0.348413,-0.292617,-0.859634,0.320682,0.973054,-0.559023,0.362291,-0.533795,-0.504861,0.343653,-0.298068,-0.423154,0.343329,-0.303547,0.504066,0.348193,-0.098685,0.536182,0.354661,-0.340282,0.602882,0.347141,-0.105321,0.989259,0.329996,0.535890,1.109255,0.324704,0.776894,0.989391,0.325333,0.776188,0.870354,0.326546,0.775677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
