Format Version,1.23,Take Name,Take 2023-11-15 03.26.28 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-11-15 03.26.29.642 PM,Capture Start Frame,10871836,Total Frames in Take,1759,Total Exported Frames,1759,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,-1.012259,0.379291,1.275051,-0.776927,0.378112,1.157385,-0.840695,0.375859,1.412292,-0.957246,0.378355,1.318701,-0.894507,0.377689,1.368418,0.363940,0.370147,-0.053548,0.270137,0.366380,0.193202,0.117714,0.370678,0.037711,0.194258,0.368817,0.115371,0.249442,0.375534,0.955055,0.056873,0.372865,1.105178,0.019123,0.372153,1.035278,-0.351720,0.377918,2.147625,-0.291853,0.378742,2.144598,-0.249303,0.378955,1.904921,-0.243212,0.377861,2.143647,-0.132497,0.377229,2.139820,-0.193830,0.377524,2.142217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,-1.012334,0.379322,1.275004,-0.777011,0.378061,1.157410,-0.840813,0.375868,1.412305,-0.957269,0.378303,1.318643,-0.894589,0.377709,1.368406,0.363976,0.370148,-0.053496,0.270014,0.366395,0.193164,0.117699,0.370696,0.037592,0.194181,0.368812,0.115324,0.249553,0.375525,0.955160,0.056927,0.372865,1.105218,0.019200,0.372159,1.035295,-0.351773,0.377917,2.147505,-0.291947,0.378743,2.144576,-0.249146,0.378960,1.904879,-0.242707,0.378227,2.143541,-0.132516,0.377232,2.139917,-0.193658,0.376974,2.142126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,-1.012414,0.379300,1.274997,-0.777114,0.378388,1.157784,-0.840822,0.375887,1.412193,-0.957332,0.378304,1.318597,-0.894656,0.377712,1.368315,0.363876,0.370167,-0.053547,0.270124,0.366379,0.193187,0.117708,0.370688,0.037710,0.194238,0.368809,0.115361,0.249636,0.375529,0.955327,0.056906,0.372865,1.105225,0.019216,0.372169,1.035244,-0.351870,0.377926,2.147364,-0.291971,0.378671,2.144604,-0.248966,0.378963,1.904907,-0.243222,0.377995,2.143394,-0.132640,0.377243,2.140095,-0.193726,0.376987,2.142158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,-1.012421,0.379287,1.275058,-0.777157,0.378031,1.157115,-0.840744,0.375890,1.412144,-0.957297,0.378306,1.318607,-0.894578,0.377663,1.368312,0.363813,0.370165,-0.053623,0.270295,0.366392,0.193187,0.117704,0.370689,0.037904,0.194333,0.368852,0.115453,0.249632,0.375542,0.955338,0.056824,0.372857,1.105143,0.019166,0.372145,1.035152,-0.351911,0.377949,2.147381,-0.291877,0.378711,2.144685,-0.248936,0.378978,1.904904,-0.243186,0.378007,2.143409,-0.132658,0.377243,2.140118,-0.193746,0.376989,2.142168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,-1.012323,0.379312,1.275104,-0.777160,0.378362,1.157677,-0.840632,0.375865,1.412180,-0.957202,0.378293,1.318666,-0.894475,0.377680,1.368366,0.363801,0.370147,-0.053610,0.270238,0.366367,0.193204,0.117711,0.370691,0.037875,0.194301,0.368860,0.115467,0.249522,0.375546,0.955121,0.056816,0.372872,1.105070,0.019113,0.372137,1.035119,-0.351809,0.377921,2.147497,-0.291953,0.378724,2.144615,-0.249159,0.378950,1.904931,-0.243193,0.377986,2.143444,-0.132579,0.377239,2.139974,-0.193709,0.376994,2.142144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,-1.012260,0.379206,1.275143,-0.777053,0.378101,1.157345,-0.840662,0.375864,1.412283,-0.957197,0.378312,1.318710,-0.894458,0.377677,1.368431,0.363879,0.370175,-0.053506,0.270066,0.366403,0.193191,0.117669,0.370704,0.037732,0.194218,0.368832,0.115379,0.249427,0.375511,0.954903,0.056891,0.372859,1.105089,0.019124,0.372141,1.035170,-0.351701,0.377902,2.147654,-0.291895,0.378726,2.144660,-0.249366,0.378937,1.904942,-0.242780,0.378276,2.143540,-0.132477,0.377243,2.139821,-0.193814,0.377523,2.142208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,-1.012325,0.379278,1.275086,-0.776955,0.378092,1.157462,-0.840792,0.375850,1.412342,-0.957262,0.378304,1.318719,-0.894560,0.377686,1.368464,0.363885,0.370184,-0.053443,0.269999,0.366416,0.193208,0.117661,0.370699,0.037680,0.194151,0.368833,0.115347,0.249480,0.375522,0.954855,0.056940,0.372865,1.105093,0.019178,0.372171,1.035176,-0.351617,0.377908,2.147640,-0.291844,0.378775,2.144604,-0.249341,0.378943,1.904934,-0.242763,0.378267,2.143513,-0.132414,0.377224,2.139783,-0.193786,0.377513,2.142195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,-1.012423,0.379310,1.275062,-0.777641,0.377796,1.157823,-0.840873,0.375872,1.412300,-0.957333,0.378314,1.318657,-0.894630,0.377681,1.368427,0.363797,0.370170,-0.053502,0.270118,0.366392,0.193247,0.117649,0.370668,0.037841,0.194209,0.368823,0.115452,0.249658,0.375512,0.955122,0.056916,0.372864,1.105067,0.019239,0.372131,1.035081,-0.351640,0.377906,2.147516,-0.291854,0.378781,2.144524,-0.249184,0.378944,1.904858,-0.242715,0.378242,2.143505,-0.132418,0.377203,2.139817,-0.193825,0.377532,2.142180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,-1.012473,0.379281,1.275092,-0.777239,0.378430,1.157745,-0.840845,0.375871,1.412235,-0.957366,0.378326,1.318660,-0.894642,0.377684,1.368372,0.363738,0.370161,-0.053545,0.270260,0.366399,0.193286,0.117630,0.370680,0.038010,0.194265,0.368841,0.115548,0.249826,0.375532,0.955345,0.056920,0.372874,1.105071,0.019313,0.372161,1.035049,-0.351633,0.377893,2.147459,-0.291815,0.378783,2.144498,-0.249083,0.378950,1.904843,-0.242699,0.378229,2.143494,-0.132443,0.377237,2.139828,-0.193697,0.377028,2.141998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,-1.012434,0.379288,1.275166,-0.777257,0.378376,1.157724,-0.840707,0.375885,1.412202,-0.957290,0.378291,1.318724,-0.894520,0.377657,1.368406,0.363750,0.370174,-0.053507,0.270170,0.366368,0.193277,0.117589,0.370682,0.037952,0.194233,0.368839,0.115530,0.249844,0.375516,0.955328,0.056975,0.372853,1.105139,0.019343,0.372148,1.035128,-0.351601,0.377907,2.147520,-0.291819,0.378794,2.144489,-0.249150,0.378944,1.904840,-0.242687,0.378214,2.143488,-0.132380,0.377220,2.139802,-0.193797,0.377534,2.142169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
