,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020
,ID,"C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0","C35C0","C35C0","C35C0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600","C3610","C3610","C3610","C3620","C3620","C3620","C3630","C3630","C3630","C3640","C3640","C3640","C3650","C3650","C3650","C3660","C3660","C3660","C3670","C3670","C3670","C3680","C3680","C3680","C3690","C3690","C3690","C3710","C3710","C3710","C3730","C3730","C3730","C3740","C3740","C3740","C36C0","C36C0","C36C0","C3750","C3750","C3750"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
16,0.160000,-1.118839,0.375763,0.718807,-1.009546,0.376249,0.934882,-0.945463,0.375860,0.888297,0.146570,0.362231,-0.985320,0.180544,0.361816,-0.839464,0.371459,0.375721,1.902956,0.386833,0.364241,-1.000244,0.455761,0.373205,1.653571,0.499388,0.373264,1.695396,0.534700,0.373463,1.728740,0.571544,0.372699,1.762194,0.615626,0.371506,1.803719,1.257638,0.364855,0.743464,1.255917,0.365070,0.633673,1.254394,0.364100,0.524263,1.495867,0.366387,0.630262,,,,0.164672,0.362439,-0.907200,,,,,,,,,
17,0.170000,-1.118887,0.375756,0.718803,-1.009368,0.375919,0.934669,-0.945485,0.375899,0.888263,0.146599,0.362236,-0.985301,0.180620,0.361849,-0.839473,0.371388,0.375721,1.902927,0.386847,0.364238,-1.000239,0.455835,0.373186,1.653598,0.499447,0.373258,1.695433,0.534746,0.373483,1.728822,0.571564,0.372412,1.762516,0.615666,0.371538,1.803798,1.257781,0.364835,0.743579,1.255907,0.365053,0.633820,1.254313,0.364121,0.524410,1.495872,0.366377,0.630151,,,,0.164683,0.362421,-0.907172,,,,,,,,,
18,0.180000,-1.118976,0.375787,0.718812,-1.009267,0.375944,0.934602,-0.945400,0.375909,0.888107,0.146613,0.362257,-0.985175,0.180669,0.361863,-0.839366,0.371461,0.375695,1.902998,0.386832,0.364287,-1.000164,0.455815,0.373197,1.653665,0.499433,0.373282,1.695465,0.534760,0.373482,1.728812,0.571553,0.372404,1.762543,0.615702,0.371607,1.803811,1.257850,0.364859,0.743681,1.255927,0.365054,0.633914,1.254247,0.364113,0.524493,1.495865,0.366380,0.630089,,,,0.164709,0.362458,-0.907109,,,,,,,,,
19,0.190000,-1.119009,0.375771,0.718800,-1.009234,0.375940,0.934554,-0.945352,0.375888,0.888040,0.146542,0.362218,-0.985050,0.180689,0.361809,-0.839238,0.371635,0.375719,1.903155,0.386789,0.364210,-1.000106,0.455666,0.373246,1.653744,0.499349,0.373314,1.695472,0.534737,0.373503,1.728762,0.571623,0.372817,1.762172,0.615760,0.371639,1.803594,1.257744,0.364829,0.743580,1.255922,0.365057,0.633834,1.254300,0.364095,0.524402,1.495876,0.366396,0.630180,,,,0.164641,0.362469,-0.906928,,,,,,,,,
20,0.200000,-1.118900,0.375762,0.718737,-1.009303,0.375956,0.934558,-0.945377,0.375893,0.888096,0.146529,0.362233,-0.985091,0.180557,0.361809,-0.839223,0.371724,0.375703,1.903281,0.386800,0.364260,-1.000050,0.455546,0.373240,1.653804,0.499257,0.373273,1.695497,0.534644,0.373486,1.728775,0.571810,0.372648,1.762470,0.615792,0.371635,1.803502,1.257623,0.364844,0.743471,1.255882,0.365078,0.633681,1.254374,0.364096,0.524303,1.495862,0.366392,0.630274,,,,0.164635,0.362487,-0.906961,,,,,,,,,
21,0.210000,-1.118809,0.375758,0.718726,-1.009378,0.375925,0.934638,-0.945455,0.375874,0.888262,0.146519,0.362241,-0.985268,0.180412,0.361830,-0.839419,0.371697,0.375703,1.903264,0.386764,0.364206,-1.000014,0.455628,0.373240,1.653751,0.499323,0.373309,1.695483,0.534701,0.373470,1.728819,0.571560,0.372385,1.762489,0.615707,0.371506,1.803652,1.257651,0.364832,0.743497,1.256145,0.365368,0.633585,1.254345,0.364093,0.524313,1.495823,0.366363,0.630230,,,,0.164607,0.362453,-0.907149,,,,,,,,,
22,0.220000,-1.118854,0.375765,0.718776,-1.009349,0.375916,0.934650,-0.945438,0.375916,0.888241,0.146505,0.362251,-0.985374,0.180372,0.361881,-0.839531,0.371555,0.375718,1.903133,0.386736,0.364214,-1.000120,0.455891,0.372873,1.654022,0.499444,0.373276,1.695557,0.534757,0.373484,1.728887,0.571610,0.372424,1.762598,0.615772,0.371567,1.803880,1.257769,0.364833,0.743651,1.255884,0.365062,0.633893,1.254196,0.364108,0.524444,1.495836,0.366371,0.630104,,,,0.164588,0.362446,-0.907244,,,,,,,,,
23,0.230000,-1.118996,0.375781,0.718844,-1.009240,0.375938,0.934620,-0.945363,0.375895,0.888082,0.146479,0.362242,-0.985256,0.180573,0.361860,-0.839457,0.371464,0.375694,1.903062,0.386708,0.364257,-1.000261,0.455999,0.372860,1.654032,0.499554,0.373301,1.695568,0.534821,0.373497,1.728945,0.571644,0.372450,1.762654,0.615779,0.371554,1.804002,1.257815,0.364853,0.743662,1.255857,0.365073,0.633938,1.254145,0.364114,0.524511,1.495837,0.366407,0.630031,,,,0.164628,0.362459,-0.907151,,,,,,,,,
24,0.240000,-1.119061,0.375780,0.718858,-1.009154,0.375947,0.934568,-0.945321,0.375931,0.887973,0.146440,0.362221,-0.985067,0.180574,0.361827,-0.839259,0.371523,0.375699,1.903132,0.386682,0.364227,-1.000234,0.455838,0.373198,1.653808,0.499482,0.373282,1.695560,0.534790,0.373499,1.728884,0.571612,0.372433,1.762634,0.615720,0.371535,1.803893,1.257695,0.364822,0.743558,1.255858,0.365076,0.633801,1.254246,0.364112,0.524396,1.495842,0.366399,0.630135,,,,0.164639,0.362479,-0.907018,,,,,,,,,
25,0.250000,-1.119003,0.375767,0.718823,-1.009206,0.375962,0.934555,-0.945328,0.375903,0.888017,0.146469,0.362301,-0.985095,0.180463,0.361806,-0.839275,0.371661,0.375719,1.903258,0.386684,0.364214,-1.000018,0.455604,0.373235,1.653808,0.499282,0.373278,1.695524,0.534649,0.373479,1.728825,0.571557,0.372721,1.762212,0.615757,0.371580,1.803686,1.257580,0.364845,0.743446,1.255853,0.365068,0.633655,1.254367,0.364107,0.524249,1.495804,0.366380,0.630267,,,,0.164538,0.362483,-0.906985,,,,,,,,,
26,0.260000,-1.118941,0.375766,0.718778,-1.009225,0.375934,0.934569,-0.945358,0.375886,0.888075,0.146482,0.362232,-0.985221,0.180248,0.361871,-0.839343,0.371692,0.375719,1.903316,0.386729,0.364291,-0.999897,0.455441,0.373222,1.653752,0.499134,0.373279,1.695486,0.534533,0.373482,1.728789,0.572028,0.373361,1.761885,0.615649,0.371539,1.803437,1.257624,0.364833,0.743493,1.255817,0.365081,0.633712,1.254270,0.364103,0.524305,1.495809,0.366393,0.630199,,,,0.164490,0.362454,-0.907076,,,,,,,,,
