Format Version,1.23,Take Name,Take 2024-02-12 07.55.11 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 07.55.11.621 PM,Capture Start Frame,4140152,Total Frames in Take,6045,Total Exported Frames,6045,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
19,0.190000,,,,-0.577395,0.368208,-0.769788,-0.543545,0.360589,-0.528061,-0.570702,0.342563,0.831445,-0.490649,0.340982,0.830876,-0.643034,0.361746,-0.535074,-0.451618,0.351909,0.591048,-0.411000,0.338184,0.831307,-0.331458,0.336135,0.831127,1.037371,0.333541,0.314560,1.093606,0.337939,-0.566841,1.210069,0.340543,-0.807391,1.212977,0.334629,-0.567151,1.332753,0.331613,-0.567366,0.909581,0.325130,0.548282,1.146502,0.322470,0.559657,0.969244,0.324498,0.551078,1.087518,0.323267,0.556632,1.027540,0.324410,0.553788,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,,,,-0.577513,0.367851,-0.768483,-0.543122,0.360520,-0.526480,-0.570692,0.342557,0.831431,-0.490613,0.340994,0.830850,-0.642733,0.361812,-0.533539,-0.451606,0.351932,0.591038,-0.410955,0.338204,0.831278,-0.331467,0.336120,0.831112,1.037371,0.333532,0.314572,1.093270,0.338027,-0.565274,1.211137,0.340290,-0.804815,1.212629,0.334591,-0.565952,1.332402,0.331682,-0.566532,0.909606,0.325108,0.548284,1.146504,0.322474,0.559677,0.969248,0.324512,0.551123,1.087533,0.323264,0.556621,1.027556,0.324436,0.553788,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,,,,-0.576861,0.368140,-0.766859,-0.542742,0.360529,-0.524859,-0.570659,0.342559,0.831439,-0.490586,0.341025,0.830853,-0.642453,0.361754,-0.531837,-0.451577,0.351932,0.591041,-0.410902,0.338177,0.831288,-0.331444,0.336136,0.831129,1.037356,0.333546,0.314613,1.092867,0.337976,-0.563995,1.210312,0.340181,-0.803623,1.212048,0.334579,-0.564665,1.331958,0.331864,-0.565515,0.909617,0.325129,0.548302,1.146490,0.322448,0.559690,0.969238,0.324483,0.551126,1.087518,0.323252,0.556654,1.027560,0.324441,0.553807,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,,,,-0.577109,0.368073,-0.765182,-0.542935,0.360248,-0.523265,-0.570642,0.342548,0.831438,-0.490589,0.340999,0.830847,-0.642273,0.361761,-0.530106,-0.451574,0.351928,0.591049,-0.410933,0.338198,0.831290,-0.331460,0.336134,0.831125,1.037333,0.333544,0.314600,1.092459,0.338104,-0.562427,1.209556,0.340203,-0.802448,1.211483,0.334460,-0.563163,1.331255,0.331623,-0.564174,0.909609,0.325154,0.548336,1.146484,0.322493,0.559705,0.969230,0.324494,0.551143,1.087526,0.323259,0.556652,1.027538,0.324414,0.553822,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,,,,-0.576310,0.367778,-0.763242,-0.542442,0.360243,-0.521348,-0.570649,0.342576,0.831436,-0.490590,0.340992,0.830864,-0.641920,0.361793,-0.528481,-0.451575,0.351903,0.591052,-0.410942,0.338197,0.831311,-0.331437,0.336112,0.831166,1.037304,0.333561,0.314636,1.091929,0.338135,-0.561018,1.208865,0.340170,-0.801005,1.211081,0.334738,-0.561767,1.330317,0.331724,-0.563003,0.909573,0.325112,0.548374,1.146474,0.322461,0.559702,0.969223,0.324521,0.551156,1.087493,0.323251,0.556672,1.027535,0.324435,0.553851,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,,,,-0.575717,0.367775,-0.761699,-0.541917,0.360185,-0.519681,-0.570653,0.342559,0.831447,-0.490571,0.341026,0.830882,-0.641325,0.361779,-0.526687,-0.451563,0.351927,0.591073,-0.410951,0.338197,0.831314,-0.331448,0.336122,0.831162,1.037277,0.333546,0.314641,1.091232,0.338083,-0.559619,1.208515,0.340172,-0.799433,1.210632,0.334560,-0.560409,1.329930,0.331768,-0.561422,0.909555,0.325115,0.548394,1.146449,0.322486,0.559711,0.969214,0.324487,0.551185,1.087495,0.323263,0.556680,1.027500,0.324407,0.553863,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,,,,-0.575396,0.367830,-0.759821,-0.541107,0.360480,-0.517826,-0.570686,0.342557,0.831443,-0.490661,0.340977,0.830929,-0.640937,0.361772,-0.524947,-0.451573,0.351909,0.591069,-0.410976,0.338204,0.831330,-0.331457,0.336135,0.831179,1.037256,0.333550,0.314649,1.090747,0.338096,-0.558331,1.208629,0.340180,-0.797865,1.210144,0.334495,-0.558916,1.329920,0.331515,-0.559504,0.909537,0.325114,0.548393,1.146133,0.322285,0.559785,0.969215,0.324467,0.551133,1.087482,0.323183,0.556679,1.027433,0.324597,0.553832,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.260000,,,,-0.574909,0.367827,-0.758115,-0.540824,0.360163,-0.516364,-0.570684,0.342551,0.831452,-0.490673,0.341002,0.830892,-0.640243,0.361718,-0.523376,-0.451573,0.351937,0.591081,-0.410993,0.338208,0.831355,-0.331493,0.336133,0.831213,1.037220,0.333550,0.314658,1.090403,0.338117,-0.556949,1.207833,0.340265,-0.797013,1.209472,0.334387,-0.557086,1.328909,0.331749,-0.557696,0.909503,0.325104,0.548427,1.146178,0.322364,0.559779,0.969158,0.324503,0.551176,1.087458,0.323240,0.556686,1.027446,0.324411,0.553862,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.270000,,,,-0.574539,0.367966,-0.756621,-0.539850,0.360489,-0.514738,-0.570714,0.342555,0.831460,-0.490701,0.340993,0.830930,-0.639641,0.361803,-0.521629,-0.451609,0.351902,0.591086,-0.411016,0.338192,0.831346,-0.331519,0.336126,0.831215,1.037224,0.333541,0.314648,1.089825,0.338325,-0.555305,1.208132,0.340118,-0.794703,1.208869,0.334513,-0.555531,1.328272,0.331955,-0.556100,0.909496,0.325140,0.548403,1.146147,0.322351,0.559789,0.969140,0.324483,0.551165,1.087448,0.323240,0.556693,1.027439,0.324382,0.553859,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.280000,,,,-0.574476,0.367929,-0.755056,-0.539461,0.360376,-0.513230,-0.570753,0.342569,0.831451,-0.490709,0.341001,0.830922,-0.638798,0.362011,-0.519845,-0.451635,0.351934,0.591070,-0.411041,0.338193,0.831361,-0.331553,0.336116,0.831209,1.037228,0.333540,0.314634,1.088843,0.338250,-0.553684,1.207047,0.340207,-0.793103,1.208222,0.334572,-0.553991,1.327889,0.331768,-0.554540,0.909511,0.325144,0.548379,1.146162,0.322320,0.559782,0.969142,0.324502,0.551140,1.087418,0.323239,0.556691,1.028310,0.323558,0.553685,,,,,,,,,,,,,,,,,,,,,,,,,,,
