Format Version,1.23,Take Name,Take 2024-02-12 06.38.41 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-02-12 06.38.42.291 PM,Capture Start Frame,3681191,Total Frames in Take,6043,Total Exported Frames,6043,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,0.031392,0.339577,1.073021,-0.087526,0.340500,1.059003,-0.807156,0.365530,-0.485372,-0.869798,0.361576,-0.249748,-0.770452,0.359468,-0.243755,0.060574,0.345263,0.836338,0.149681,0.337861,1.089202,1.169261,0.329471,-0.610226,1.168312,0.326460,0.832267,1.228985,0.328409,-0.617385,1.247879,0.325040,0.844501,1.258160,0.336664,-0.862819,1.288021,0.326240,-0.624797,1.322114,0.333696,0.613272,1.324981,0.320270,0.855544,1.346787,0.324251,-0.632280,1.404627,0.319272,0.868438,1.406612,0.322487,-0.639225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,0.031416,0.339531,1.073022,-0.087538,0.340512,1.059001,-0.806641,0.365633,-0.483352,-0.869696,0.361876,-0.247717,-0.770298,0.359958,-0.241755,0.060571,0.345286,0.836327,0.149687,0.337856,1.089195,1.169279,0.329498,-0.610201,1.168307,0.326423,0.832271,1.229021,0.328431,-0.617365,1.247842,0.325031,0.844465,1.258151,0.336642,-0.862800,1.288052,0.326233,-0.624812,1.322126,0.333703,0.613274,1.325465,0.320567,0.856354,1.346811,0.324280,-0.632264,1.404630,0.319267,0.868432,1.406662,0.322518,-0.639224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,0.031431,0.339518,1.073031,-0.087519,0.340506,1.059013,-0.805875,0.365338,-0.481325,-0.869067,0.361729,-0.245898,-0.769434,0.359439,-0.239919,0.060597,0.345288,0.836337,0.149699,0.337861,1.089183,1.169271,0.329468,-0.610181,1.168331,0.326440,0.832243,1.229022,0.328401,-0.617346,1.247845,0.325017,0.844455,1.258132,0.336639,-0.862794,1.288009,0.326177,-0.624773,1.322138,0.333697,0.613260,1.324989,0.320257,0.855494,1.346801,0.324250,-0.632238,1.404629,0.319271,0.868420,1.406641,0.322491,-0.639222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,0.031429,0.339522,1.073039,-0.087515,0.340515,1.059007,-0.805068,0.365608,-0.479600,-0.868100,0.361553,-0.244138,-0.768730,0.359457,-0.238138,0.060590,0.345269,0.836359,0.149709,0.337853,1.089207,1.169270,0.329481,-0.610142,1.168336,0.326440,0.832258,1.228982,0.328407,-0.617312,1.247868,0.325007,0.844455,1.258125,0.336661,-0.862765,1.288041,0.326261,-0.624752,1.322139,0.333688,0.613261,1.324983,0.320248,0.855470,1.346792,0.324278,-0.632239,1.404646,0.319285,0.868425,1.406611,0.322473,-0.639180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,0.031401,0.339583,1.073009,-0.087537,0.340516,1.059030,-0.803901,0.365500,-0.478098,-0.867437,0.361582,-0.242611,-0.767920,0.359520,-0.236352,0.060569,0.345278,0.836348,0.149724,0.337861,1.089202,1.169235,0.329465,-0.610123,1.168335,0.326414,0.832246,1.228967,0.328378,-0.617303,1.247896,0.325020,0.844442,1.258092,0.336641,-0.862731,1.287992,0.326205,-0.624742,1.322174,0.333705,0.613255,1.325479,0.320505,0.856369,1.346766,0.324252,-0.632200,1.404664,0.319272,0.868416,1.406584,0.322509,-0.639191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,0.031418,0.339530,1.073056,-0.087535,0.340497,1.059033,-0.802830,0.365234,-0.476196,-0.866717,0.361609,-0.241267,-0.767225,0.359461,-0.234897,0.060575,0.345297,0.836365,0.149698,0.337855,1.089213,1.169193,0.329490,-0.610113,1.168375,0.326428,0.832249,1.228929,0.328414,-0.617291,1.247938,0.325022,0.844467,1.258050,0.336659,-0.862733,1.287971,0.326245,-0.624724,1.322193,0.333695,0.613266,1.325518,0.320557,0.856348,1.346739,0.324262,-0.632201,1.404701,0.319294,0.868409,1.406527,0.322497,-0.639152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,0.031387,0.339583,1.073035,-0.087575,0.340501,1.059031,-0.802201,0.365468,-0.475050,-0.866115,0.361573,-0.239691,-0.766797,0.359450,-0.233256,0.060552,0.345287,0.836354,0.149672,0.337845,1.089207,1.169126,0.329469,-0.610109,1.168400,0.326433,0.832260,1.228856,0.328395,-0.617309,1.247985,0.325010,0.844488,1.258044,0.336670,-0.862730,1.287894,0.326231,-0.624729,1.322192,0.333686,0.613280,1.325560,0.320578,0.856345,1.346686,0.324253,-0.632195,1.404718,0.319297,0.868405,1.406481,0.322487,-0.639123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,0.031326,0.339553,1.073041,-0.087595,0.340525,1.059016,-0.801710,0.365550,-0.473534,-0.865554,0.361687,-0.238269,-0.766401,0.359529,-0.231739,0.060541,0.345282,0.836374,0.149663,0.337889,1.089208,1.169085,0.329491,-0.610119,1.168419,0.326442,0.832247,1.228788,0.328427,-0.617298,1.247987,0.325026,0.844474,1.257991,0.336626,-0.862709,1.287837,0.326216,-0.624709,1.322230,0.333715,0.613268,1.325038,0.320269,0.855524,1.346656,0.324279,-0.632166,1.404735,0.319309,0.868430,1.406450,0.322517,-0.639102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,0.031347,0.339569,1.073039,-0.087599,0.340527,1.059023,-0.801258,0.365495,-0.471969,-0.865198,0.361565,-0.236827,-0.765893,0.359433,-0.230228,0.060531,0.345290,0.836353,0.149659,0.337852,1.089203,1.169042,0.329465,-0.610138,1.168436,0.326451,0.832261,1.228760,0.328442,-0.617325,1.248037,0.325072,0.844468,1.257996,0.336645,-0.862744,1.287816,0.326219,-0.624735,1.322230,0.333686,0.613277,1.325090,0.320258,0.855511,1.346572,0.324344,-0.632147,1.404744,0.319313,0.868426,1.406399,0.322517,-0.639115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,0.031324,0.339579,1.073030,-0.087584,0.340500,1.059024,-0.801314,0.365660,-0.470449,-0.865001,0.361601,-0.235185,-0.765562,0.359410,-0.228704,0.060524,0.345259,0.836372,0.149659,0.337858,1.089215,1.169029,0.329513,-0.610181,1.169389,0.328489,0.832809,1.228735,0.328434,-0.617349,1.248024,0.325042,0.844491,1.258000,0.336644,-0.862754,1.287766,0.326206,-0.624751,1.322270,0.333711,0.613307,1.325599,0.320597,0.856367,1.346571,0.324321,-0.632150,1.404735,0.319298,0.868437,1.406388,0.322488,-0.639110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
